City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
48,Hithadhoo,-0.6,73.0833,81.75,73,100,4.63,MV,2022-09-23 20:31:29,overcast clouds
49,Narsaq,60.9167,-46.05,47.07,97,100,7.49,GL,2022-09-23 20:31:29,light rain
50,Busselton,-33.65,115.3333,51.64,88,100,12.39,AU,2022-09-23 20:28:13,overcast clouds
51,Voyvozh,62.892,54.9635,36.52,97,71,4.92,RU,2022-09-23 20:31:30,broken clouds
52,Huicungo,-7.2833,-76.8,94.42,34,63,2.19,PE,2022-09-23 20:31:30,moderate rain
53,Pisco,-13.7,-76.2167,64.45,63,20,11.5,PE,2022-09-23 20:30:24,few clouds
54,Kodiak,57.79,-152.4072,53.11,54,100,11.5,US,2022-09-23 20:29:01,overcast clouds
55,Cabo San Lucas,22.8909,-109.9124,92.5,70,20,8.05,MX,2022-09-23 20:31:31,few clouds
56,Pevek,69.7008,170.3133,33.57,85,40,15.79,RU,2022-09-23 20:31:31,scattered clouds
57,Palanga,55.9175,21.0686,44.62,93,0,1.14,LT,2022-09-23 20:31:32,clear sky
58,Laya,17.4726,121.4678,70.75,82,12,2.68,PH,2022-09-23 20:29:19,few clouds
59,Cape Town,-33.9258,18.4232,56.91,60,0,10.36,ZA,2022-09-23 20:27:11,clear sky
60,Gat,31.61,34.7642,78.4,100,0,6.06,IL,2022-09-23 20:31:32,clear sky
61,Praia Da Vitoria,38.7333,-27.0667,74.75,88,75,21.16,PT,2022-09-23 20:31:33,broken clouds
62,Ushuaia,-54.8,-68.3,51.46,43,40,14.97,AR,2022-09-23 20:28:13,scattered clouds
63,Port Alfred,-33.5906,26.891,60.19,87,100,1.01,ZA,2022-09-23 20:29:29,overcast clouds
64,Barrow,71.2906,-156.7887,33.82,86,100,11.5,US,2022-09-23 20:31:33,overcast clouds
65,Abu Samrah,35.3029,37.1841,69.08,66,0,6.04,SY,2022-09-23 20:31:34,clear sky
66,Mahebourg,-20.4081,57.7,72.25,94,75,12.66,MU,2022-09-23 20:31:35,broken clouds
67,Takoradi,4.8845,-1.7554,75.22,94,46,7.02,GH,2022-09-23 20:31:35,scattered clouds
68,Ribeira Grande,38.5167,-28.7,73.8,83,75,29.93,PT,2022-09-23 20:31:36,broken clouds
69,Srednekolymsk,67.45,153.6833,33.8,99,100,6.15,RU,2022-09-23 20:31:36,overcast clouds
70,Manzanillo,20.3433,-77.1167,85.95,64,80,7.2,CU,2022-09-23 20:31:37,broken clouds
